native,Verb Error,Other Error,Pronoun Error,Adjective Error,Noun Error,Preposition Error
Arabic,0.2711864406779661,0.15254237288135594,0.1864406779661017,0.22033898305084745,0.11864406779661017,0.05084745762711865
Arabic (Moroccan),0.4,0.14,0.22,0.1,0.08,0.06
Bahasa (Indonesia),0.23333333333333334,0.3,0.1,0.13333333333333333,0.13333333333333333,0.1
Berber,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.07692307692307693
Catalan,0.36363636363636365,0.16666666666666666,0.22727272727272727,0.07575757575757576,0.09090909090909091,0.07575757575757576
Chinese (Mandarin),0.28368794326241137,0.1702127659574468,0.14184397163120568,0.11347517730496454,0.20567375886524822,0.0851063829787234
French,0.23880597014925373,0.1791044776119403,0.1791044776119403,0.14925373134328357,0.1791044776119403,0.07462686567164178
German,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.1111111111111111
Greek,0.3,0.1,0.1,0.2,0.1,0.2
Hindi,0.2727272727272727,0.30303030303030304,0.12121212121212122,0.09090909090909091,0.18181818181818182,0.030303030303030304
Italian,0.3165829145728643,0.18592964824120603,0.15577889447236182,0.07537688442211055,0.16080402010050251,0.10552763819095477
Japanese,0.281437125748503,0.1377245508982036,0.15568862275449102,0.1437125748502994,0.19760479041916168,0.08383233532934131
Javanese,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0
Korean,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.0
Marathi,0.28125,0.28125,0.125,0.09375,0.1875,0.03125
Persian,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
Polish,0.8,0.0,0.0,0.2,0.0,0.0
Romanian,0.2,0.0,0.0,0.2,0.4,0.2
Russian,0.38,0.14,0.1,0.08,0.2,0.1
Sinhalese,0.25,0.375,0.25,0.0,0.0,0.125
Spanish,0.2727272727272727,0.13333333333333333,0.18787878787878787,0.10909090909090909,0.21212121212121213,0.08484848484848485
Thai,0.43478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.391304347826087,0.08695652173913043
Turkish,0.28431372549019607,0.18627450980392157,0.16666666666666666,0.11764705882352941,0.17647058823529413,0.06862745098039216
Ukrainian,0.47619047619047616,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.047619047619047616
Vietnamese,0.19444444444444445,0.19444444444444445,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.1111111111111111
